分类: 📡卫视频道, 名称: 广西卫视, 有效: 0, IPv4: 23, IPv6: 0, 最小延迟: 10114 ms, 最高速率: 0.29 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 3, IPv4: 27, IPv6: 0, 最小延迟: 27 ms, 最高速率: 38.35 M/s, 平均速率: 37.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 1, IPv4: 20, IPv6: 0, 最小延迟: 1851 ms, 最高速率: 0.58 M/s, 平均速率: 0.58 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 0, IPv4: 20, IPv6: 0, 最小延迟: 2768 ms, 最高速率: 0.33 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 4, IPv4: 29, IPv6: 0, 最小延迟: 57 ms, 最高速率: 28.03 M/s, 平均速率: 11.20 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 0, IPv4: 20, IPv6: 0, 最小延迟: 10302 ms, 最高速率: 0.09 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 1, IPv4: 30, IPv6: 0, 最小延迟: 71 ms, 最高速率: 17.99 M/s, 平均速率: 17.99 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 0, IPv4: 27, IPv6: 0, 最小延迟: 5332 ms, 最高速率: 0.30 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 1, IPv4: 26, IPv6: 0, 最小延迟: 70 ms, 最高速率: 16.82 M/s, 平均速率: 16.82 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 0, IPv4: 22, IPv6: 0, 最小延迟: 3359 ms, 最高速率: 0.48 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 0, IPv4: 18, IPv6: 0, 最小延迟: 3166 ms, 最高速率: 0.57 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 青海卫视, 有效: 0, IPv4: 17, IPv6: 0, 最小延迟: 10131 ms, 最高速率: 0.07 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 📡卫视频道, 名称: 山东卫视, 有效: 0, IPv4: 23, IPv6: 0, 最小延迟: 6115 ms, 最高速率: 0.22 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山西卫视, 有效: 0, IPv4: 20, IPv6: 0, 最小延迟: 1222 ms, 最高速率: 0.29 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 0, IPv4: 20, IPv6: 0, 最小延迟: 8080 ms, 最高速率: 0.20 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 四川卫视, 有效: 2, IPv4: 34, IPv6: 0, 最小延迟: 31 ms, 最高速率: 33.05 M/s, 平均速率: 17.04 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 1, IPv4: 21, IPv6: 0, 最小延迟: 1807 ms, 最高速率: 1.52 M/s, 平均速率: 1.52 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 2, IPv4: 5, IPv6: 0, 最小延迟: 1387 ms, 最高速率: 0.41 M/s, 平均速率: 0.36 M/s, 最高分辨率: 1280x720
分类: 📡卫视频道, 名称: 天津卫视, 有效: 0, IPv4: 22, IPv6: 0, 最小延迟: 10069 ms, 最高速率: 0.17 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
